Date,Pair,Correlation
2024-11-12,NBP-HH,0.12089087508408232
2024-11-13,NBP-HH,0.12228450347927579
2024-11-14,NBP-HH,0.11349682024506184
2024-11-15,NBP-HH,0.11138919272967068
2024-11-18,NBP-HH,0.11387153356821643
2024-11-19,NBP-HH,0.11402339577896999
2024-11-20,NBP-HH,0.11421327513318481
2024-11-21,NBP-HH,0.11587875113381509
2024-11-22,NBP-HH,0.12263527807038549
2024-11-25,NBP-HH,0.12517378261747955
2024-11-26,NBP-HH,0.12445879218022872
2024-11-27,NBP-HH,0.12751845473257853
2024-11-29,NBP-HH,0.12759900797451618
2024-12-02,NBP-HH,0.12443772308264243
2024-12-03,NBP-HH,0.12987721731790852
2024-12-04,NBP-HH,0.13005145262362752
2024-12-05,NBP-HH,0.1297573116912588
2024-12-06,NBP-HH,0.1222233872978522
2024-12-09,NBP-HH,0.12014766402198046
2024-12-10,NBP-HH,0.12373106187106722
2024-12-11,NBP-HH,0.11896537684916714
2024-12-12,NBP-HH,0.11630691995778923
2024-12-13,NBP-HH,0.11085725349221805
2024-12-16,NBP-HH,0.10748363115603923
2024-12-17,NBP-HH,0.10920283854061477
2024-12-18,NBP-HH,0.10849972674806574
2024-12-19,NBP-HH,0.12086492328020747
2024-12-20,NBP-HH,0.12396869696426811
2024-12-23,NBP-HH,0.12199807467999738
2024-12-24,NBP-HH,0.12303742733209613
2024-12-27,NBP-HH,0.10464609643901217
2024-12-30,NBP-HH,0.10249666683136142
2024-12-31,NBP-HH,0.09939179313694761
2025-01-02,NBP-HH,0.09582637072082256
2025-01-03,NBP-HH,0.09582022211934019
2025-01-06,NBP-HH,0.08979120388036974
2025-01-07,NBP-HH,0.08473673562592046
2025-01-08,NBP-HH,0.07463843552059507
2025-01-09,NBP-HH,0.07211661974362775
2025-01-10,NBP-HH,0.07850306009743968
2025-01-13,NBP-HH,0.08133105250519627
2025-01-14,NBP-HH,0.08215303132346412
2025-01-15,NBP-HH,0.08228689958497845
2025-01-16,NBP-HH,0.07450079619915267
2025-01-17,NBP-HH,0.0432386856505377
2025-01-21,NBP-HH,0.030642171297528262
2025-01-22,NBP-HH,0.026261159449871486
2025-01-23,NBP-HH,0.029479364400945448
2025-01-24,NBP-HH,0.025666221573821667
2025-01-27,NBP-HH,0.03394525109308235
2025-01-28,NBP-HH,0.021447708961554717
2025-01-29,NBP-HH,0.020710288722348032
2025-01-30,NBP-HH,0.01851622973402791
2025-01-31,NBP-HH,0.018578075854500976
2025-02-03,NBP-HH,0.04226780653848028
2025-02-04,NBP-HH,0.044470837415107455
2025-02-05,NBP-HH,0.044207223380172765
2025-02-06,NBP-HH,0.044831070129201796
2025-02-07,NBP-HH,0.04371628329803375
2025-02-10,NBP-HH,0.048156068093490656
2025-02-11,NBP-HH,0.0471438290725394
2025-02-12,NBP-HH,0.044951481804032314
2025-02-13,NBP-HH,0.038669044271351136
2025-02-14,NBP-HH,0.030807732142494326
2025-02-18,NBP-HH,0.02259686707290361
2025-02-19,NBP-HH,0.014927540422472406
2025-02-20,NBP-HH,0.01568801122810458
2025-02-21,NBP-HH,0.015438266680878688
2025-02-24,NBP-HH,0.013817813808129912
2025-02-25,NBP-HH,0.00870116246638016
2025-02-26,NBP-HH,0.018997565690768773
